timestamp,src_ip,dst_ip,query,record_type,response_size
2026-07-15 10:00:01,192.168.1.10,8.8.8.8,google.com,A,120
2026-07-15 10:00:02,192.168.1.11,8.8.8.8,github.com,A,150
2026-07-15 10:00:03,192.168.1.12,8.8.8.8,openai.com,A,132
2026-07-15 10:00:04,192.168.1.13,8.8.8.8,ubuntu.com,A,145
2026-07-15 10:00:05,192.168.1.50,8.8.8.8,aHR0cHM6Ly9leGZpbC1kYXRhLWNodW5rLTAwMS5ldmlsLmNvbQ==.evil.com,TXT,540
2026-07-15 10:00:06,192.168.1.50,8.8.8.8,aHR0cHM6Ly9leGZpbC1kYXRhLWNodW5rLTAwMi5ldmlsLmNvbQ==.evil.com,TXT,545
2026-07-15 10:00:07,192.168.1.50,8.8.8.8,aHR0cHM6Ly9leGZpbC1kYXRhLWNodW5rLTAwMy5ldmlsLmNvbQ==.evil.com,TXT,560
2026-07-15 10:00:08,192.168.1.50,8.8.8.8,aHR0cHM6Ly9leGZpbC1kYXRhLWNodW5rLTAwNC5ldmlsLmNvbQ==.evil.com,TXT,550
2026-07-15 10:00:09,192.168.1.50,8.8.8.8,aHR0cHM6Ly9leGZpbC1kYXRhLWNodW5rLTAwNS5ldmlsLmNvbQ==.evil.com,TXT,548
2026-07-15 10:00:10,192.168.1.50,8.8.8.8,aHR0cHM6Ly9leGZpbC1kYXRhLWNodW5rLTAwNi5ldmlsLmNvbQ==.evil.com,TXT,551
2026-07-15 10:00:11,192.168.1.50,8.8.8.8,aHR0cHM6Ly9leGZpbC1kYXRhLWNodW5rLTAwNy5ldmlsLmNvbQ==.evil.com,TXT,555
