timestamp,src_ip,dst_ip,dst_port,protocol,bytes
2026-07-12 10:00:00,192.168.1.5,45.77.12.8,22,TCP,450
2026-07-12 10:00:02,192.168.1.5,10.0.0.2,23,TCP,520
2026-07-12 10:00:03,192.168.1.5,10.0.0.2,25,TCP,610
2026-07-12 10:00:04,192.168.1.5,10.0.0.2,53,UDP,120
2026-07-12 10:00:05,192.168.1.5,45.77.12.8,80,TCP,900
2026-07-12 10:00:06,192.168.1.5,10.0.0.2,110,TCP,700
2026-07-12 10:00:07,192.168.1.5,10.0.0.2,135,TCP,350
2026-07-12 10:00:08,192.168.1.5,10.0.0.2,139,TCP,420
2026-07-12 10:00:09,192.168.1.5,10.0.0.2,443,TCP,1024
2026-07-12 10:00:10,192.168.1.5,10.0.0.2,445,TCP,640
2026-07-12 10:00:11,192.168.1.5,10.0.0.2,3389,TCP,850
